사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
23-Aug,2호선,218,종합운동장,2,0,"1,546",806,"6,635","9,073","16,814","14,650","22,968","22,215","16,375","12,434","11,876","10,229","10,607","9,088","11,673","11,249","10,864","11,665","12,196","14,847","13,273","24,447","15,515","42,757","18,114","63,446","17,941","55,501","20,867","21,125","22,129","11,696","67,645","11,390","32,539","10,440","5,867","5,573",395,"1,683",0,70,0,0,0,0
23-Aug,2호선,219,삼성(무역센터),159,1,"4,695","5,281","7,019","43,242","14,634","147,576","19,134","347,462","20,754","251,087","24,720","118,766","37,381","90,369","48,837","84,454","63,486","88,766","80,833","77,378","106,128","65,405","138,592","60,957","242,249","62,646","326,888","63,883","159,511","35,230","123,031","19,123","104,249","14,942","63,997","12,105","17,320","6,379","2,590","3,706",1,"1,081",0,0,0,0
23-Aug,2호선,220,선릉,120,2,"4,769","6,461","11,440","45,139","20,740","125,504","32,526","285,160","32,529","221,183","36,716","109,174","46,384","67,826","55,962","63,904","65,064","68,928","75,164","54,248","98,177","47,554","125,558","47,346","213,206","54,692","301,070","58,290","150,433","36,174","93,000","22,091","88,331","19,205","76,285","17,448","25,792","10,109","3,964","4,151",3,114,0,0,0,0
23-Aug,2호선,221,역삼,30,2,"3,601","7,195","9,076","42,792","15,616","156,824","26,634","376,457","24,629","308,588","25,396","128,113","33,803","66,150","40,229","57,687","47,814","63,377","57,381","49,257","77,882","43,595","104,092","41,738","232,445","51,057","293,186","60,227","154,794","37,986","86,247","23,083","79,754","18,918","52,780","16,769","20,023","10,090","3,233","2,997",0,24,0,0,0,0
23-Aug,2호선,222,강남,112,5,"8,536","11,391","18,206","55,048","39,744","156,616","62,774","308,248","50,894","310,450","51,657","152,592","67,996","107,871","86,613","100,304","102,025","115,982","112,582","100,256","135,730","96,541","165,359","103,417","255,070","132,340","325,844","176,501","208,701","103,275","162,014","56,072","182,654","45,611","163,833","38,530","72,928","22,668","12,953","6,403",2,47,0,0,0,0
23-Aug,2호선,223,교대(법원.검찰청),13,2,"2,711","6,979","11,439","25,958","24,763","60,225","35,846","158,464","27,275","135,382","25,281","65,740","29,972","54,055","33,105","50,087","39,515","53,278","46,037","47,027","51,450","43,263","56,945","46,098","98,352","58,974","134,561","70,404","61,971","40,886","50,687","24,807","51,332","22,630","40,243","21,465","15,047","11,461","3,161","3,045",0,2,0,0,0,0
23-Aug,2호선,224,서초,4,1,"1,875","4,438","9,279","22,114","18,589","53,150","27,878","115,539","27,730","90,101","21,065","41,529","27,575","31,131","25,398","23,902","32,089","26,254","32,028","23,252","39,780","20,248","46,522","21,635","75,820","24,536","98,160","26,471","44,515","18,780","30,599","11,685","28,336","10,912","18,254","10,525","6,012","5,533",895,"1,389",0,0,0,0,0,0
23-Aug,2호선,225,방배,5,0,"2,838","2,769","9,404","12,254","22,466","25,878","30,329","68,046","24,181","42,467","17,799","22,098","18,233","17,701","19,972","19,716","20,922","20,089","21,055","19,294","23,792","20,027","28,964","21,558","42,006","29,327","59,371","35,777","25,324","25,718","19,077","16,662","19,654","14,917","15,075","15,313","6,042","8,634","1,127","2,540",0,1,0,0,0,0
23-Aug,2호선,226,사당,91,2,"12,784","4,337","28,796","33,163","78,639","44,718","100,069","65,641","75,103","47,506","49,686","40,981","42,300","48,980","47,634","48,628","48,738","48,629","50,877","48,325","54,846","58,507","59,623","77,435","74,761","118,453","92,003","172,526","62,558","114,950","58,542","69,496","65,516","63,116","62,819","61,567","34,960","36,556","5,710","10,540",2,529,0,0,0,0
23-Aug,2호선,227,낙성대(강감찬),24,4,"11,714","2,234","27,529","10,403","84,268","19,043","127,710","39,240","81,560","33,059","43,798","24,535","37,138","23,318","39,585","26,196","38,334","27,461","33,571","28,600","34,493","35,306","37,976","42,031","44,271","60,020","49,975","103,210","28,447","84,839","22,336","55,292","20,689","51,818","15,224","51,623","7,539","31,190","1,341","8,886",2,250,0,0,0,0
